
11월 21, 2023 09:36:16.872 NEW SESSION
12월 13, 2023 11:19:22.724 [4756:6108:1213/111922.723:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:24.744 [4756:6108:1213/111924.743:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:26.766 [4756:6108:1213/111926.766:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:28.783 [4756:6108:1213/111928.782:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:30.793 [4756:6108:1213/111930.793:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:32.812 [4756:6108:1213/111932.811:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:34.844 [4756:6108:1213/111934.843:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:36.871 [4756:6108:1213/111936.870:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:38.891 [4756:6108:1213/111938.891:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:40.905 [4756:6108:1213/111940.905:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:42.931 [4756:6108:1213/111942.930:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:44.949 [4756:6108:1213/111944.948:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:46.983 [4756:6108:1213/111946.982:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:49.03 [4756:6108:1213/111949.002:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:51.27 [4756:6108:1213/111951.026:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
